date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:45:01	6816/6816	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2018:07:03%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
19:45:01	9696/9696	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2017:57:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	(from https://www.classcentral.com/)
19:45:02	7244/7244	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2018:07:03%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	(from https://www.classcentral.com/)
19:45:02	8248/8248	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2017:57:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	(from https://www.classcentral.com/)
19:45:02	5784/5784	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2017:57:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-vietnamese.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-vietnamese.woff2	(from https://www.classcentral.com/)
19:45:02	15016/15016	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2018:07:03%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	(from https://www.classcentral.com/)
19:45:03	15948/15948	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2018:07:03%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	(from https://www.classcentral.com/)
19:45:03	6696/6696	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2017:57:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
19:45:03	9540/9540	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2017:57:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	(from https://www.classcentral.com/)
19:45:03	7360/7360	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2017:57:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	(from https://www.classcentral.com/)
